,index,Fos_puncta_adj,Gad2_puncta_adj,IL34_puncta_adj,fos_status,cell_type,animal_id,image_number
2,D05_A01_G004_0001.xls,1.4539913010781669,1.4539913010781669,20.355878215094336,fos-,VGlut1,D05,4
3,D05_A01_G004_0001.xls,1.780385764737843,1.780385764737843,10.682314588427056,fos-,VGlut1,D05,4
6,D05_A01_G004_0001.xls,1.4924526113958194,0.0,11.939620891166555,fos-,VGlut1,D05,4
7,D05_A01_G004_0001.xls,3.8797284190106693,40.737148399612025,3.8797284190106693,fos-,Gad2,D05,4
11,D05_A01_G004_0001.xls,0.0,2.976899142733356,7.442247856833391,fos-,VGlut1,D05,4
12,D05_A01_G004_0001.xls,0.0,0.0,7.9330718996203,fos-,VGlut1,D05,4
14,D05_A01_G004_0001.xls,1.0552819877843895,3.165845963353169,14.773947828981454,fos-,VGlut1,D05,4
18,D05_A01_G004_0001.xls,6.157620194047719,1.2315240388095439,19.704384620952702,fos+,VGlut1,D05,4
19,D05_A01_G004_0001.xls,2.0686886970733434,0.0,8.274754788293373,fos-,VGlut1,D05,4
21,D05_A01_G004_0001.xls,7.276326030923142,4.365795618553886,14.552652061846285,fos+,VGlut1,D05,4
22,D05_A01_G004_0001.xls,1.0361835104776658,0.0,6.217101062865995,fos-,VGlut1,D05,4
24,D05_A01_G004_0001.xls,0.0,0.0,19.08202685972311,fos-,VGlut1,D05,4
25,D05_A01_G004_0001.xls,2.6863812244513814,1.3431906122256907,13.431906122256908,fos-,VGlut1,D05,4
26,D05_A01_G004_0001.xls,0.0,36.75920960220675,3.6759209602206746,fos-,Gad2,D05,4
27,D05_A01_G004_0001.xls,0.0,0.0,11.287465990594486,fos-,VGlut1,D05,4
28,D05_A01_G004_0001.xls,0.0,0.0,6.063417559596559,fos-,VGlut1,D05,4
29,D05_A01_G004_0001.xls,1.5844997549363782,0.0,6.337999019745513,fos-,VGlut1,D05,4
30,D05_A01_G004_0001.xls,13.307144999039975,0.0,25.72714699814395,fos+,VGlut1,D05,4
32,D05_A01_G004_0001.xls,4.642697782212588,0.0,17.02322520144616,fos-,VGlut1,D05,4
33,D05_A01_G004_0001.xls,15.89474697239219,48.74389071533605,14.835097174232711,fos+,Gad2,D05,4
34,D05_A01_G004_0001.xls,0.0,41.893953461469216,4.333857254634746,fos-,Gad2,D05,4
36,D05_A01_G004_0001.xls,0.0,9.51554470859864,5.7093268251591835,fos-,Gad2,D05,4
37,D05_A01_G004_0001.xls,2.4817180808248804,0.8272393602749601,11.581351043849441,fos-,VGlut1,D05,4
38,D05_A01_G004_0001.xls,0.0,22.11906512028817,1.4746043413525445,fos-,Gad2,D05,4
39,D05_A01_G004_0001.xls,9.295897952404102,0.0,12.39453060320547,fos+,VGlut1,D05,4
40,D05_A01_G004_0001.xls,2.0454415361585534,1.0227207680792767,6.136324608475661,fos-,VGlut1,D05,4
41,D05_A01_G004_0001.xls,2.5991849467467714,37.68818172782818,7.797554840240314,fos-,Gad2,D05,4
43,D05_A01_G004_0001.xls,0.0,57.662203965160124,8.587987824598317,fos-,Gad2,D05,4
44,D05_A01_G004_0001.xls,3.2770769129991484,1.6385384564995742,8.19269228249787,fos-,VGlut1,D05,4
45,D05_A01_G004_0001.xls,2.5949895825834766,0.0,12.974947912917383,fos-,VGlut1,D05,4
46,D05_A01_G004_0001.xls,0.0,0.0,5.166285613862193,fos-,VGlut1,D05,4
48,D05_A01_G004_0001.xls,7.1142982384976134,0.0,7.1142982384976134,fos+,VGlut1,D05,4
50,D05_A01_G004_0001.xls,0.7783312282032576,0.7783312282032576,10.118305966642351,fos-,VGlut1,D05,4
52,D05_A01_G004_0001.xls,0.0,2.5087933712975143,33.868710512516444,fos-,VGlut1,D05,4
53,D05_A01_G004_0001.xls,1.06653696021864,4.26614784087456,10.6653696021864,fos-,VGlut1,D05,4
54,D05_A01_G004_0001.xls,3.7997095717592337,1.8998547858796169,5.699564357638851,fos-,VGlut1,D05,4
55,D05_A01_G004_0001.xls,4.599618345469968,1.5332061151566558,18.39847338187987,fos-,VGlut1,D05,4
56,D05_A01_G004_0001.xls,2.2051397765075222,11.025698882537611,13.230838659045135,fos-,Gad2,D05,4
57,D05_A01_G004_0001.xls,4.5573450527716295,0.911469010554326,19.140849221640845,fos-,VGlut1,D05,4
58,D05_A01_G004_0001.xls,14.098948766846567,6.408613075839349,12.817226151678698,fos+,VGlut1,D05,4
59,D05_A01_G004_0001.xls,0.8361455771093717,2.508436731328115,15.050620387968689,fos-,VGlut1,D05,4
60,D05_A01_G004_0001.xls,0.0,0.0,9.001413063623025,fos-,VGlut1,D05,4
61,D05_A01_G004_0001.xls,1.3957279853598492,1.3957279853598492,11.165823882878794,fos-,VGlut1,D05,4
